ENSGene	GRCh38	GRCh37
ENSG00000212607	SNORA3B	SNORA45
ENSG00000268674	FAM231D	FAM231B
ENSG00000272439	RNU6-91P	U6
ENSG00000263908	MIR3116-1	MIR3116-2
ENSG00000272075	RN7SL828P	Metazoa_SRP
ENSG00000203573	Metazoa_SRP	AC090519.4
ENSG00000266780	MIR4444-2	MIR4444-1
ENSG00000252699	SNORA21B	SNORA21
ENSG00000239128	SNORD13P3	snoU13
ENSG00000265214	MIR4283-2	MIR4283-1
ENSG00000201388	SNORA68B	SNORA68
ENSG00000201023	RNY3P11	Y_RNA
ENSG00000268991	FAM231B	FAM231C
ENSG00000253739	RNU6-323P	RP11-90P5.7
ENSG00000206903	SNORA24B	SNORA24
ENSG00000237848	AL606489.2	RP11-739N20.3
ENSG00000261065	AL592146.1	RP11-74C13.4
ENSG00000270179	AP002840.2	RP11-159N11.4
ENSG00000251678	AC027343.3	CTD-2296D1.1
ENSG00000247732	AC091951.2	RP11-404K5.1
ENSG00000262099	AC004148.1	CTC-524C5.5
ENSG00000271963	AC026786.2	CTD-2140B24.6
ENSG00000247970	AL160313.1	RP11-543C4.1
ENSG00000250842	AC137770.1	CTC-806A22.1
ENSG00000262660	AC139530.2	SLC25A10
ENSG00000243904	RPSAP5	RP11-600F24.1
ENSG00000266364	AC087499.8	RP11-218E15.1
ENSG00000229402	AL162151.1	AL162151.4
ENSG00000259110	LINC02304	RP11-359N5.1
ENSG00000263946	AC015818.3	RP11-434D2.11
ENSG00000258401	AL512361.1	RP11-326E7.1
ENSG00000224025	AL353616.1	RP11-274B18.3
ENSG00000267815	AC008655.1	CTB-191K22.5
ENSG00000258845	AL139354.1	RP11-945F5.1
ENSG00000229567	AL139421.1	RP4-717I23.2
ENSG00000237003	AC126124.2	RP4-612C19.1
ENSG00000231407	AL354732.1	RP11-576I22.2
ENSG00000233703	AC027673.1	RP11-20E23.1
ENSG00000260919	AC100835.1	CTD-3154N5.1
ENSG00000233990	AL353754.1	RP11-401E9.3
ENSG00000237357	BX088651.4	RP11-475I24.3
ENSG00000259603	AC016595.1	CTD-2012M11.3
ENSG00000235219	AC236972.2	CTC-233O10.1
ENSG00000268870	AC008758.5	CTD-3105H18.16
ENSG00000262319	AC007952.6	CTC-457L16.2
ENSG00000226752	CUTALP	PSMD5-AS1
ENSG00000273010	AL360270.3	RP11-96K19.5
ENSG00000228872	AC096664.1	AC096664.2
ENSG00000259413	AC011270.1	RP11-5O23.1
ENSG00000099290	WASHC2A	FAM21A
ENSG00000258630	LINC02292	RP11-725G5.2
ENSG00000224077	AP000936.1	AP000936.4
ENSG00000256108	AC135586.1	RP13-672B3.5
ENSG00000170409	AC091390.1	CTA-313A17.2
ENSG00000260469	C15orf59-AS1	RP11-8P11.3
ENSG00000260029	AC007608.2	RP11-401P9.1
ENSG00000129951	PLPPR3	LPPR3
ENSG00000238041	AP004245.1	RP11-59K5.1
ENSG00000225497	KCNMA1-AS2	RP11-180I22.2
ENSG00000196893	AC090286.1	AC090286.4
ENSG00000249305	AC048346.1	RP11-13L2.1
ENSG00000255421	AP002340.1	CTD-2011F17.2
ENSG00000259013	AL118558.2	RP11-1017G21.3
ENSG00000253260	AC087664.1	RP11-379I19.1
ENSG00000249818	AC097375.2	RP11-73G16.3
ENSG00000232413	AL589923.1	RP11-343J18.2
ENSG00000167912	AC090152.1	RP11-25K19.1
ENSG00000256250	AC073912.1	RP11-989F5.1
ENSG00000257065	AL049844.1	RP3-468K18.5
ENSG00000226777	FAM30A	KIAA0125
ENSG00000255280	AP001922.4	CTD-2530H12.5
ENSG00000270371	AL122127.1	RP11-417P24.1
ENSG00000254298	AC008641.1	CTB-17P3.4
ENSG00000244413	RPL23AP56	RP11-1057B8.1
ENSG00000249602	AL589765.4	RP11-98D18.3
ENSG00000203288	TDRKH-AS1	RP11-98D18.9
ENSG00000268916	CSAG3	CSAG2
ENSG00000268288	AL589765.5	RP11-98D18.16
ENSG00000239600	AP000797.1	AP000797.2
ENSG00000258820	AF111167.1	RP11-293M10.2
ENSG00000272154	AC244517.2	AC005754.7
ENSG00000261432	LINC01613	RP11-360A18.2
ENSG00000146001	PCDHB18P	PCDHB18
ENSG00000250719	AL672043.1	RP11-322N21.2
ENSG00000226957	AL358075.1	RP4-533D7.4
ENSG00000260136	AC008915.2	CTD-2270L9.4
ENSG00000259782	AC008915.1	CTD-2270L9.2
ENSG00000197149	AC107956.1	RP11-452G18.2
ENSG00000229732	AC019349.1	AC019349.5
ENSG00000254629	AP002370.1	RP11-160H12.3
ENSG00000266973	AC092296.1	CTD-3162L10.3
ENSG00000223604	AC007394.1	AC007394.3
ENSG00000253852	AC011383.1	CTB-140J7.2
ENSG00000256699	TMEM132D-AS2	RP11-669N7.3
ENSG00000258673	LINC01397	RP4-773N10.6
ENSG00000236838	AC090617.2	AC090617.1
ENSG00000255037	AC136443.2	RP11-680G24.1
ENSG00000250821	EXOC1L	RP11-345F18.1
ENSG00000256407	AL357673.1	RP11-446E24.4
ENSG00000229388	LINC01715	RP11-442N24__B.1
ENSG00000263063	AC024361.2	RP11-388C12.1
ENSG00000264985	AC124804.1	RP11-449L23.2
ENSG00000233271	AL590440.1	RP11-12C17.2
