HGNC_symbol	ENSTranscript
A2M	ENST00000318602
NAT2	ENST00000286479
ACADM	ENST00000370841
ACADS	ENST00000242592
ACADVL	ENST00000356839
ACAT1	ENST00000265838
ACVRL1	ENST00000388922
PSEN1	ENST00000324501
ADA	ENST00000372874
SGCA	ENST00000262018
ADRB2	ENST00000305988
ADRB3	ENST00000345060
ADSL	ENST00000216194
AGA	ENST00000264595
AGT	ENST00000366667
AGXT	ENST00000307503
ALAD	ENST00000409155
ALAS2	ENST00000330807
ABCD1	ENST00000218104
ALDOA	ENST00000338110
ALDOB	ENST00000374855
AMPD1	ENST00000353928
ANK1	ENST00000289734
APC	ENST00000257430
APOA1	ENST00000236850
APOC3	ENST00000227667
APOE	ENST00000252486
APOH	ENST00000205948
FAS	ENST00000355740
AR	ENST00000374690
ARG1	ENST00000356962
ARSB	ENST00000264914
ARSE	ENST00000381134
ASL	ENST00000304874
ASPA	ENST00000263080
ASS1	ENST00000372393
ATM	ENST00000278616
ATP7A	ENST00000341514
ATP7B	ENST00000242839
AVPR2	ENST00000337474
BCHE	ENST00000264381
BLM	ENST00000355112
BRCA2	ENST00000544455
BTD	ENST00000303498
BTK	ENST00000308731
SERPING1	ENST00000278407
C2	ENST00000299367
C3	ENST00000245907
C6	ENST00000337836
C8B	ENST00000371237
CA2	ENST00000285379
CACNA1S	ENST00000362061
CAPN3	ENST00000397163
CBS	ENST00000398165
CD3G	ENST00000532917
CD40LG	ENST00000370629
CDK4	ENST00000257904
CDKN1C	ENST00000414822
CDKN2A	ENST00000304494
CETP	ENST00000200676
CHRNA1	ENST00000348749
CHRNE	ENST00000293780
LYST	ENST00000389793
ERCC8	ENST00000265038
CLCN1	ENST00000343257
CLCN5	ENST00000376108
CLCNKB	ENST00000375679
CNGA1	ENST00000420489
COL1A1	ENST00000225964
COL1A2	ENST00000297268
COL3A1	ENST00000304636
COL4A3	ENST00000396578
COL4A4	ENST00000396625
COL5A1	ENST00000371817
COL7A1	ENST00000328333
COMP	ENST00000222271
CP	ENST00000264613
CPOX	ENST00000264193
CPT2	ENST00000371486
CST3	ENST00000376925
CSTB	ENST00000291568
CYBA	ENST00000261623
CYP17A1	ENST00000369887
CYP1B1	ENST00000260630
CYP2D6	ENST00000360608
DDB2	ENST00000256996
DLD	ENST00000205402
DPYD	ENST00000370192
SLC26A3	ENST00000340010
SLC26A2	ENST00000286298
TOR1A	ENST00000351698
EDNRB	ENST00000334286
TAZ	ENST00000299328
EMD	ENST00000369842
ENG	ENST00000373203
EPB42	ENST00000441366
EPHX1	ENST00000366837
EPOR	ENST00000222139
ERCC3	ENST00000285398
ERCC5	ENST00000355739
ERCC6	ENST00000355832
ESR1	ENST00000206249
ETFA	ENST00000557943
EXT1	ENST00000378204
F11	ENST00000403665
F13A1	ENST00000264870
F5	ENST00000367797
F7	ENST00000375581
F8	ENST00000360256
F9	ENST00000218099
FABP2	ENST00000274024
FANCA	ENST00000389301
FANCC	ENST00000289081
FAH	ENST00000561421
FBN1	ENST00000316623
MS4A2	ENST00000278888
FECH	ENST00000262093
FGFR2	ENST00000358487
FGFR3	ENST00000440486
FH	ENST00000366560
FXN	ENST00000377270
FSHR	ENST00000406846
FTL	ENST00000331825
FUCA1	ENST00000374479
FUT1	ENST00000310160
FUT3	ENST00000303225
FUT6	ENST00000318336
G6PC	ENST00000253801
GAA	ENST00000302262
GALC	ENST00000261304
GALK1	ENST00000437911
GALT	ENST00000378842
GAMT	ENST00000252288
GBE1	ENST00000429644
GCDH	ENST00000222214
GCGR	ENST00000400723
GCH1	ENST00000491895
GCK	ENST00000403799
GHR	ENST00000230882
GIPR	ENST00000590918
GJA1	ENST00000282561
GJB1	ENST00000361726
GK	ENST00000378946
GLI3	ENST00000395925
GLA	ENST00000218516
GLDC	ENST00000321612
GLRA1	ENST00000274576
GP1BA	ENST00000329125
GP9	ENST00000307395
GPI	ENST00000356487
GSN	ENST00000373818
GSS	ENST00000216951
MSH6	ENST00000234420
GUCY2D	ENST00000254854
GUSB	ENST00000304895
HADHA	ENST00000380649
HADHB	ENST00000317799
HBG2	ENST00000336906
SERPIND1	ENST00000215727
CFH	ENST00000367429
HGD	ENST00000283871
HK1	ENST00000359426
HK2	ENST00000290573
HMBS	ENST00000278715
HMGCL	ENST00000374490
TBX5	ENST00000310346
SHH	ENST00000297261
HPRT1	ENST00000298556
HPS1	ENST00000325103
HSD11B2	ENST00000326152
HSD17B3	ENST00000375263
HSD3B2	ENST00000369416
